author,NF,F,NC,Total,F_Ratio
406541,2,0,4,6,0.0
101573,1,0,0,1,0.0
835991,11,0,13,24,0.0
142502,2,0,1,3,0.0
918037,1,0,8,9,0.0
518464,166,42,235,443,0.09480812641083522
435349,729,219,1028,1976,0.11082995951417005
820562,751,75,914,1740,0.04310344827586207
528905,36,3,50,89,0.033707865168539325
914288,307,91,338,736,0.12364130434782608
506702,72,13,185,270,0.04814814814814815
73029,621,125,456,1202,0.10399334442595674
169546,40,0,34,74,0.0
335607,609,162,499,1270,0.12755905511811025
736902,0,0,1,1,0.0
810575,90,123,88,301,0.40863787375415284
773912,8,0,6,14,0.0
142457,394,102,540,1036,0.09845559845559845
426328,181,8,230,419,0.01909307875894988
776678,67,18,75,160,0.1125
143025,164,14,67,245,0.05714285714285714
299478,30,6,27,63,0.09523809523809523
221197,155,0,84,239,0.0
429044,684,71,591,1346,0.05274888558692422
388977,180,12,102,294,0.04081632653061224
239251,528,118,343,989,0.11931243680485339
343091,36,1,10,47,0.02127659574468085
245026,17,0,9,26,0.0
528810,25,0,3,28,0.0
277983,8,0,7,15,0.0
251479,29,2,7,38,0.05263157894736842
255610,2,0,0,2,0.0
726832,201,19,66,286,0.06643356643356643
401184,265,40,198,503,0.07952286282306163
814125,3,0,1,4,0.0
239543,366,101,293,760,0.13289473684210526
41760,3,0,1,4,0.0
158962,258,13,160,431,0.030162412993039442
697484,5,0,3,8,0.0
695155,34,3,14,51,0.058823529411764705
284983,154,11,60,225,0.04888888888888889
933689,12,6,28,46,0.13043478260869565
489689,87,13,106,206,0.06310679611650485
205255,58,6,258,322,0.018633540372670808
505831,127,11,75,213,0.051643192488262914
670486,431,27,299,757,0.035667107001321
110195,228,18,198,444,0.04054054054054054
649175,4,0,0,4,0.0
739775,18,3,28,49,0.061224489795918366
444377,93,17,204,314,0.054140127388535034
741232,2,0,1,3,0.0
568286,1500,436,1039,2975,0.1465546218487395
549329,162,36,100,298,0.12080536912751678
503647,35,10,172,217,0.04608294930875576
416238,186,50,276,512,0.09765625
276725,42,0,4,46,0.0
333320,4,0,18,22,0.0
848907,24,8,19,51,0.1568627450980392
452416,0,0,1,1,0.0
226388,294,94,578,966,0.09730848861283643
735631,29,16,94,139,0.11510791366906475
548494,155,10,80,245,0.04081632653061224
322374,3,0,3,6,0.0
159525,2,0,16,18,0.0
535532,155,32,208,395,0.0810126582278481
554630,71,8,98,177,0.04519774011299435
949949,245,12,165,422,0.02843601895734597
1380,26,7,19,52,0.1346153846153846
106039,280,148,180,608,0.24342105263157895
556089,184,93,167,444,0.20945945945945946
613291,87,35,72,194,0.18041237113402062
52444,483,30,283,796,0.03768844221105527
19264,620,112,273,1005,0.11144278606965174
563290,47,10,22,79,0.12658227848101267
422033,58,14,69,141,0.09929078014184398
108991,15,0,3,18,0.0
628472,118,1,71,190,0.005263157894736842
317058,2,0,2,4,0.0
434358,408,96,446,950,0.10105263157894737
653803,75,18,23,116,0.15517241379310345
651960,195,10,116,321,0.03115264797507788
218639,14,7,40,61,0.11475409836065574
656798,106,16,161,283,0.05653710247349823
292123,51,0,17,68,0.0
794928,256,34,337,627,0.05422647527910686
478238,6,0,4,10,0.0
958986,2,0,6,8,0.0
401838,15,6,35,56,0.10714285714285714
273368,31,0,13,44,0.0
598515,65,5,83,153,0.032679738562091505
716661,22,0,12,34,0.0
495698,3,5,17,25,0.2
43569,123,2,65,190,0.010526315789473684
315524,391,49,238,678,0.07227138643067847
245832,83,3,37,123,0.024390243902439025
987348,146,102,204,452,0.22566371681415928
163685,78,50,30,158,0.31645569620253167
129852,0,0,2,2,0.0
145779,47,4,18,69,0.057971014492753624
668441,2,0,1,3,0.0
32463,30,0,6,36,0.0
579226,243,62,178,483,0.12836438923395446
503194,0,0,35,35,0.0
210752,46,5,50,101,0.04950495049504951
138354,31,1,4,36,0.027777777777777776
348521,25,5,39,69,0.07246376811594203
241961,249,37,129,415,0.0891566265060241
830620,197,57,192,446,0.12780269058295965
797380,282,103,237,622,0.16559485530546625
577072,8,0,1,9,0.0
323373,280,77,264,621,0.12399355877616747
130519,2,0,0,2,0.0
120679,186,22,129,337,0.06528189910979229
815242,19,0,2,21,0.0
203727,56,0,31,87,0.0
481832,46,0,13,59,0.0
206441,26,2,1,29,0.06896551724137931
686179,254,22,116,392,0.05612244897959184
717285,2,0,0,2,0.0
570321,74,26,62,162,0.16049382716049382
980402,94,1,48,143,0.006993006993006993
809408,19,2,2,23,0.08695652173913043
500846,207,49,121,377,0.129973474801061
663868,65,22,84,171,0.1286549707602339
531568,16,10,42,68,0.14705882352941177
882192,116,23,43,182,0.12637362637362637
180690,186,61,149,396,0.15404040404040403
567113,8,2,1,11,0.18181818181818182
652903,270,48,240,558,0.08602150537634409
718573,29,5,21,55,0.09090909090909091
905512,63,5,25,93,0.053763440860215055
888195,26,1,16,43,0.023255813953488372
917618,4,0,0,4,0.0
11656,11,0,3,14,0.0
379474,123,9,43,175,0.05142857142857143
640049,99,61,96,256,0.23828125
876931,4,0,1,5,0.0
428048,14,0,3,17,0.0
235034,19,3,75,97,0.030927835051546393
661938,45,1,21,67,0.014925373134328358
538417,60,8,116,184,0.043478260869565216
820051,104,31,28,163,0.1901840490797546
192574,62,0,5,67,0.0
180236,9,0,11,20,0.0
393556,7,0,3,10,0.0
765803,21,2,11,34,0.058823529411764705
928726,6,3,1,10,0.3
57708,147,6,74,227,0.02643171806167401
834624,31,0,38,69,0.0
188642,0,0,1,1,0.0
874111,3,0,1,4,0.0
535836,55,11,25,91,0.12087912087912088
160245,10,13,2,25,0.52
565506,0,1,0,1,1.0
636251,1,0,2,3,0.0
990325,15,0,2,17,0.0
712067,13,0,5,18,0.0
866019,27,0,6,33,0.0
628948,1,0,0,1,0.0
208778,24,2,3,29,0.06896551724137931
371291,1,0,2,3,0.0
890776,5,5,3,13,0.38461538461538464
973710,86,3,30,119,0.025210084033613446
510938,21,18,32,71,0.2535211267605634
71629,143,58,167,368,0.15760869565217392
602295,5,17,22,44,0.38636363636363635
766418,50,7,14,71,0.09859154929577464
560261,8,0,17,25,0.0
795968,11,7,7,25,0.28
163182,1,0,2,3,0.0
284079,9,2,5,16,0.125
460827,3,0,0,3,0.0
124348,119,0,63,182,0.0
804983,9,0,13,22,0.0
942098,5,8,21,34,0.23529411764705882
133009,38,21,39,98,0.21428571428571427
218661,13,6,3,22,0.2727272727272727
481529,6,0,22,28,0.0
83047,40,0,16,56,0.0
769003,70,0,44,114,0.0
850589,46,5,18,69,0.07246376811594203
830006,190,54,254,498,0.10843373493975904
159841,49,7,52,108,0.06481481481481481
22900,149,5,56,210,0.023809523809523808
75026,11,1,17,29,0.034482758620689655
555521,5,0,1,6,0.0
571823,5,1,2,8,0.125
944122,70,3,39,112,0.026785714285714284
365488,194,27,173,394,0.06852791878172589
264348,0,0,3,3,0.0
973030,3,0,0,3,0.0
910623,6,3,15,24,0.125
727346,4,0,0,4,0.0
235285,139,19,100,258,0.07364341085271318
224130,3,0,3,6,0.0
440593,102,15,52,169,0.08875739644970414
685540,1,0,0,1,0.0
213349,2,0,0,2,0.0
870865,1,0,0,1,0.0
955721,4,0,3,7,0.0
