author,NF,F,NC,Total,F_Ratio
161981,50,0,35,85,0.0
860819,12,1,10,23,0.043478260869565216
207170,343,19,175,537,0.035381750465549346
860315,579,43,298,920,0.04673913043478261
613063,3301,437,1308,5046,0.08660325009908838
126083,1453,138,811,2402,0.05745212323064113
757630,51,4,47,102,0.0392156862745098
291403,360,76,153,589,0.12903225806451613
54576,573,108,344,1025,0.10536585365853658
62185,382,60,191,633,0.0947867298578199
728341,96,9,64,169,0.05325443786982249
450153,375,68,339,782,0.08695652173913043
669734,72,7,47,126,0.05555555555555555
107153,102,0,47,149,0.0
842068,1930,64,986,2980,0.021476510067114093
486072,1049,44,350,1443,0.030492030492030493
501908,141,23,59,223,0.1031390134529148
351873,201,41,119,361,0.11357340720221606
132387,599,62,1575,2236,0.027728085867620753
737121,631,46,466,1143,0.04024496937882765
746189,854,75,367,1296,0.05787037037037037
355703,735,81,282,1098,0.07377049180327869
336432,471,53,267,791,0.06700379266750948
652919,308,33,122,463,0.07127429805615551
282078,59,2,16,77,0.025974025974025976
384073,79,2,29,110,0.01818181818181818
998010,272,12,1733,2017,0.005949429846306396
671789,40,3,36,79,0.0379746835443038
682458,21,0,32,53,0.0
944454,482,40,751,1273,0.031421838177533384
514375,154,13,116,283,0.045936395759717315
78781,33,1,10,44,0.022727272727272728
838615,52,4,21,77,0.05194805194805195
415449,447,18,105,570,0.031578947368421054
860722,2,0,0,2,0.0
145481,1557,202,648,2407,0.08392189447444952
641702,30,1,10,41,0.024390243902439025
263142,5,0,0,5,0.0
875514,829,37,465,1331,0.02779864763335838
251610,9,1,1,11,0.09090909090909091
456105,137,5,36,178,0.028089887640449437
593625,4,0,0,4,0.0
693264,228,17,134,379,0.044854881266490766
365836,49,5,43,97,0.05154639175257732
923778,27,1,6,34,0.029411764705882353
500633,76,8,33,117,0.06837606837606838
318461,56,4,9,69,0.057971014492753624
893070,208,8,149,365,0.021917808219178082
871717,6,0,16,22,0.0
107329,616,47,671,1334,0.03523238380809595
809616,4,1,1,6,0.16666666666666666
224374,42,15,74,131,0.11450381679389313
857020,49,4,231,284,0.014084507042253521
629004,250,65,162,477,0.13626834381551362
58545,121,5,39,165,0.030303030303030304
866059,190,3,95,288,0.010416666666666666
420688,237,5,100,342,0.014619883040935672
923449,57,1,16,74,0.013513513513513514
652454,7,3,5,15,0.2
980573,3,1,4,8,0.125
556717,169,13,242,424,0.030660377358490566
706044,250,22,112,384,0.057291666666666664
989117,60,2,33,95,0.021052631578947368
878516,252,21,164,437,0.04805491990846682
65073,71,2,4,77,0.025974025974025976
427810,9,0,6,15,0.0
522554,676,30,213,919,0.03264417845484222
49021,204,5,98,307,0.016286644951140065
460492,119,9,60,188,0.047872340425531915
186745,5,0,6,11,0.0
263883,24,1,18,43,0.023255813953488372
215989,8,1,18,27,0.037037037037037035
691353,5,1,1,7,0.14285714285714285
661151,785,51,417,1253,0.040702314445331206
352568,3,1,2,6,0.16666666666666666
612665,19,2,37,58,0.034482758620689655
673927,90,7,35,132,0.05303030303030303
564788,7,0,28,35,0.0
954945,1054,116,379,1549,0.07488702388637831
509539,498,36,256,790,0.04556962025316456
513976,44,11,48,103,0.10679611650485436
132602,101,1,40,142,0.007042253521126761
183090,53,2,64,119,0.01680672268907563
972649,20,3,20,43,0.06976744186046512
764790,26,2,10,38,0.05263157894736842
543562,12,6,3,21,0.2857142857142857
106390,51,0,23,74,0.0
574897,6,0,17,23,0.0
20334,116,21,129,266,0.07894736842105263
887183,463,56,134,653,0.08575803981623277
951934,25,0,0,25,0.0
14182,421,15,193,629,0.02384737678855326
202614,184,3,63,250,0.012
682628,456,79,299,834,0.09472422062350119
653797,7,18,22,47,0.3829787234042553
896133,96,5,118,219,0.0228310502283105
935945,6,0,4,10,0.0
340738,827,101,429,1357,0.07442888725128961
550084,1,0,5,6,0.0
565940,571,43,565,1179,0.0364715860899067
649827,0,0,66,66,0.0
907944,42,4,71,117,0.03418803418803419
260173,39,13,24,76,0.17105263157894737
535031,185,22,87,294,0.07482993197278912
193510,5,21,15,41,0.5121951219512195
239635,0,8,5,13,0.6153846153846154
910837,31,4,8,43,0.09302325581395349
681542,8,8,10,26,0.3076923076923077
403411,0,6,4,10,0.6
283192,4,20,10,34,0.5882352941176471
634422,12,0,132,144,0.0
619696,82,14,116,212,0.0660377358490566
889048,27,1,63,91,0.01098901098901099
114222,285,61,183,529,0.11531190926275993
760098,15,8,143,166,0.04819277108433735
666496,74,0,24,98,0.0
603685,23,0,37,60,0.0
223295,26,2,26,54,0.037037037037037035
618,301,30,191,522,0.05747126436781609
61849,0,0,20,20,0.0
766862,1,1,23,25,0.04
123053,337,92,265,694,0.13256484149855907
345355,0,0,5,5,0.0
366028,1,1,6,8,0.125
79285,0,0,14,14,0.0
305706,45,11,69,125,0.088
63805,44,1,57,102,0.00980392156862745
186277,757,33,210,1000,0.033
154115,5,0,4,9,0.0
969826,4,1,6,11,0.09090909090909091
794052,0,0,8,8,0.0
314147,0,0,5,5,0.0
314245,150,25,80,255,0.09803921568627451
902189,2,0,4,6,0.0
553281,974,80,694,1748,0.04576659038901602
758438,3,0,15,18,0.0
91917,35,0,25,60,0.0
382397,0,0,4,4,0.0
209680,4,0,8,12,0.0
754387,20,0,5,25,0.0
823415,58,8,11,77,0.1038961038961039
954121,3,0,6,9,0.0
755932,42,0,8,50,0.0
586250,0,0,1,1,0.0
554737,25,2,81,108,0.018518518518518517
87313,21,1,12,34,0.029411764705882353
460532,61,0,11,72,0.0
114150,108,19,95,222,0.08558558558558559
322279,337,111,227,675,0.16444444444444445
914291,36,4,43,83,0.04819277108433735
